MES/AÑO,TIPO CLIENTES,PRODUCTO,% TIENDAS IMPACTADAS
201810,CLIENTES GRANDES,A10,94
201810,CLIENTES GRANDES,A11,92
201810,CLIENTES GRANDES,A12,94
201810,CLIENTES GRANDES,A13,94
201810,CLIENTES GRANDES,A14,90
201810,CLIENTES GRANDES,A15,91
201810,CLIENTES GRANDES,A16,84
201810,CLIENTES GRANDES,A17,74
201810,CLIENTES GRANDES,A18,94
201810,CLIENTES GRANDES,A19,100
201810,CLIENTES GRANDES,A20,100
201810,CLIENTES GRANDES,A21,94
201810,CLIENTES GRANDES,A22,90
201810,CLIENTES GRANDES,A23,100
201810,CLIENTES GRANDES,A24,90
201810,CLIENTES PEQUEÑOS,A1,45
201810,CLIENTES PEQUEÑOS,A2,28
201810,CLIENTES PEQUEÑOS,A3,24
201810,CLIENTES PEQUEÑOS,A4,68
201810,CLIENTES PEQUEÑOS,A5,31
201810,CLIENTES PEQUEÑOS,A6,3
201810,CLIENTES PEQUEÑOS,A7,5
201810,CLIENTES PEQUEÑOS,A8,23
201810,CLIENTES PEQUEÑOS,A9,31
201810,CLIENTES PEQUEÑOS,A10,32
201810,CLIENTES PEQUEÑOS,A11,33
201810,CLIENTES PEQUEÑOS,A14,40
201810,CLIENTES PEQUEÑOS,A15,6
201810,CLIENTES PEQUEÑOS,A16,4
201810,CLIENTES PEQUEÑOS,A17,11
201810,CLIENTES PEQUEÑOS,A18,81
201810,CLIENTES PEQUEÑOS,A19,69
201810,CLIENTES PEQUEÑOS,A20,61
201810,CLIENTES PEQUEÑOS,A21,67
201810,CLIENTES PEQUEÑOS,A22,39
201810,CLIENTES PEQUEÑOS,A23,73
201811,CLIENTES GRANDES,A1,93
201811,CLIENTES GRANDES,A2,100
201811,CLIENTES GRANDES,A3,83
201811,CLIENTES GRANDES,A4,100
201811,CLIENTES GRANDES,A5,93
201811,CLIENTES GRANDES,A6,82
201811,CLIENTES GRANDES,A7,82
201811,CLIENTES GRANDES,A8,99
201811,CLIENTES GRANDES,A9,79
201811,CLIENTES GRANDES,A10,94
201811,CLIENTES GRANDES,A11,89
201811,CLIENTES GRANDES,A12,93
201811,CLIENTES GRANDES,A13,93
201811,CLIENTES GRANDES,A14,90
201811,CLIENTES GRANDES,A15,89
201811,CLIENTES GRANDES,A16,81
201811,CLIENTES GRANDES,A17,73
201811,CLIENTES GRANDES,A18,92
201811,CLIENTES GRANDES,A19,100
201811,CLIENTES GRANDES,A20,100
201811,CLIENTES GRANDES,A21,93
201811,CLIENTES GRANDES,A22,91
201811,CLIENTES GRANDES,A23,100
201811,CLIENTES GRANDES,A24,88
201811,CLIENTES PEQUEÑOS,A1,45
201811,CLIENTES PEQUEÑOS,A2,30
201811,CLIENTES PEQUEÑOS,A3,23
201811,CLIENTES PEQUEÑOS,A4,68
201811,CLIENTES PEQUEÑOS,A5,32
201811,CLIENTES PEQUEÑOS,A6,3
201811,CLIENTES PEQUEÑOS,A7,3
201811,CLIENTES PEQUEÑOS,A8,22
201811,CLIENTES PEQUEÑOS,A9,30
201811,CLIENTES PEQUEÑOS,A10,30
201811,CLIENTES PEQUEÑOS,A11,35
201811,CLIENTES PEQUEÑOS,A14,40
201811,CLIENTES PEQUEÑOS,A15,6
201811,CLIENTES PEQUEÑOS,A16,4
201811,CLIENTES PEQUEÑOS,A17,12
201811,CLIENTES PEQUEÑOS,A18,79
201811,CLIENTES PEQUEÑOS,A19,67
201811,CLIENTES PEQUEÑOS,A20,61
201811,CLIENTES PEQUEÑOS,A21,66
201811,CLIENTES PEQUEÑOS,A22,40
201811,CLIENTES PEQUEÑOS,A23,73
201812,CLIENTES GRANDES,A1,94
201812,CLIENTES GRANDES,A2,100
201812,CLIENTES GRANDES,A3,87
201812,CLIENTES GRANDES,A4,100
201812,CLIENTES GRANDES,A5,94
201812,CLIENTES GRANDES,A6,85
201812,CLIENTES GRANDES,A7,81
201812,CLIENTES GRANDES,A8,96
201812,CLIENTES GRANDES,A9,74
201812,CLIENTES GRANDES,A10,94
201812,CLIENTES GRANDES,A11,90
201812,CLIENTES GRANDES,A12,94
201812,CLIENTES GRANDES,A13,93
201812,CLIENTES GRANDES,A14,87
201812,CLIENTES GRANDES,A15,90
201812,CLIENTES GRANDES,A16,83
201812,CLIENTES GRANDES,A17,76
201812,CLIENTES GRANDES,A18,93
201812,CLIENTES GRANDES,A19,100
201812,CLIENTES GRANDES,A20,100
201812,CLIENTES GRANDES,A21,94
201812,CLIENTES GRANDES,A22,92
201812,CLIENTES GRANDES,A23,100
201812,CLIENTES GRANDES,A24,89
201812,CLIENTES PEQUEÑOS,A1,44
201812,CLIENTES PEQUEÑOS,A2,30
201812,CLIENTES PEQUEÑOS,A3,23
201812,CLIENTES PEQUEÑOS,A4,69
201812,CLIENTES PEQUEÑOS,A5,29
201812,CLIENTES PEQUEÑOS,A6,3
201812,CLIENTES PEQUEÑOS,A7,2
201812,CLIENTES PEQUEÑOS,A8,23
201812,CLIENTES PEQUEÑOS,A9,31
201812,CLIENTES PEQUEÑOS,A10,29
201812,CLIENTES PEQUEÑOS,A11,34
201812,CLIENTES PEQUEÑOS,A14,38
201812,CLIENTES PEQUEÑOS,A15,7
201812,CLIENTES PEQUEÑOS,A16,4
201812,CLIENTES PEQUEÑOS,A17,12
201812,CLIENTES PEQUEÑOS,A18,79
201812,CLIENTES PEQUEÑOS,A19,67
201812,CLIENTES PEQUEÑOS,A20,60
201812,CLIENTES PEQUEÑOS,A21,65
201812,CLIENTES PEQUEÑOS,A22,38
201812,CLIENTES PEQUEÑOS,A23,73
201901,CLIENTES GRANDES,A1,93
201901,CLIENTES GRANDES,A2,100
201901,CLIENTES GRANDES,A3,86
201901,CLIENTES GRANDES,A4,100
201901,CLIENTES GRANDES,A5,93
201901,CLIENTES GRANDES,A6,85
201901,CLIENTES GRANDES,A7,78
201901,CLIENTES GRANDES,A8,94
201901,CLIENTES GRANDES,A9,73
201901,CLIENTES GRANDES,A10,92
201901,CLIENTES GRANDES,A11,89
201901,CLIENTES GRANDES,A12,93
201901,CLIENTES GRANDES,A13,93
201901,CLIENTES GRANDES,A14,86
201901,CLIENTES GRANDES,A15,90
201901,CLIENTES GRANDES,A16,82
201901,CLIENTES GRANDES,A17,69
201901,CLIENTES GRANDES,A18,91
201901,CLIENTES GRANDES,A19,100
201901,CLIENTES GRANDES,A20,100
201901,CLIENTES GRANDES,A21,93
201901,CLIENTES GRANDES,A22,91
201901,CLIENTES GRANDES,A23,100
201901,CLIENTES GRANDES,A24,88
201901,CLIENTES PEQUEÑOS,A1,43
201901,CLIENTES PEQUEÑOS,A2,28
201901,CLIENTES PEQUEÑOS,A3,23
201901,CLIENTES PEQUEÑOS,A4,68
201901,CLIENTES PEQUEÑOS,A5,30
201901,CLIENTES PEQUEÑOS,A6,4
201901,CLIENTES PEQUEÑOS,A7,3
201901,CLIENTES PEQUEÑOS,A8,24
201901,CLIENTES PEQUEÑOS,A9,29
201901,CLIENTES PEQUEÑOS,A10,28
201901,CLIENTES PEQUEÑOS,A11,33
201901,CLIENTES PEQUEÑOS,A14,37
201901,CLIENTES PEQUEÑOS,A15,6
201901,CLIENTES PEQUEÑOS,A16,4
201901,CLIENTES PEQUEÑOS,A17,11
201901,CLIENTES PEQUEÑOS,A18,80
201901,CLIENTES PEQUEÑOS,A19,65
201901,CLIENTES PEQUEÑOS,A20,59
201901,CLIENTES PEQUEÑOS,A21,65
201901,CLIENTES PEQUEÑOS,A22,34
201901,CLIENTES PEQUEÑOS,A23,73
201902,CLIENTES GRANDES,A1,93
201902,CLIENTES GRANDES,A2,100
201902,CLIENTES GRANDES,A3,85
201902,CLIENTES GRANDES,A4,100
201902,CLIENTES GRANDES,A5,93
201902,CLIENTES GRANDES,A6,85
201902,CLIENTES GRANDES,A7,78
201902,CLIENTES GRANDES,A8,94
201902,CLIENTES GRANDES,A9,86
201902,CLIENTES GRANDES,A10,95
201902,CLIENTES GRANDES,A11,88
201902,CLIENTES GRANDES,A12,93
201902,CLIENTES GRANDES,A13,92
201902,CLIENTES GRANDES,A14,88
201902,CLIENTES GRANDES,A15,89
201902,CLIENTES GRANDES,A16,81
201902,CLIENTES GRANDES,A17,76
201902,CLIENTES GRANDES,A18,89
