MES/AÑO,TIPO CLIENTES,PRODUCTO,INVERSION
201812,CLIENTES PEQUEÑOS,A15,0.4244
201812,CLIENTES PEQUEÑOS,A16,0.3107
201812,CLIENTES PEQUEÑOS,A17,0.2815
201812,CLIENTES PEQUEÑOS,A18,0.1926
201812,CLIENTES PEQUEÑOS,A19,0.2832
201812,CLIENTES PEQUEÑOS,A20,0.3041
201812,CLIENTES PEQUEÑOS,A21,0.249
201812,CLIENTES PEQUEÑOS,A22,0.2297
201812,CLIENTES PEQUEÑOS,A23,0.171
201901,CLIENTES GRANDES,A1,0.3372
201901,CLIENTES GRANDES,A2,0.3828
201901,CLIENTES GRANDES,A3,0.1934
201901,CLIENTES GRANDES,A4,0.4016
201901,CLIENTES GRANDES,A5,0.3062
201901,CLIENTES GRANDES,A6,0.29
201901,CLIENTES GRANDES,A7,0.3666
201901,CLIENTES GRANDES,A8,0.3493
201901,CLIENTES GRANDES,A9,0.2197
201901,CLIENTES GRANDES,A10,0.2786
201901,CLIENTES GRANDES,A11,0.4426
201901,CLIENTES GRANDES,A12,0.2523
201901,CLIENTES GRANDES,A13,0.2363
201901,CLIENTES GRANDES,A14,0.2895
201901,CLIENTES GRANDES,A15,0.3255
201901,CLIENTES GRANDES,A16,0.2009
201901,CLIENTES GRANDES,A17,0.2722
201901,CLIENTES GRANDES,A18,0.2535
201901,CLIENTES GRANDES,A19,0.3075
