MES/AÑO,TIPO CLIENTES,PRODUCTO,VENTAS (TON)
201810,CLIENTES GRANDES,A19,26.380458
201810,CLIENTES GRANDES,A20,29.307737
201810,CLIENTES GRANDES,A21,49.056084
201810,CLIENTES GRANDES,A22,9.4898
201810,CLIENTES GRANDES,A23,60.921432
201810,CLIENTES GRANDES,A24,7.184808
201810,CLIENTES PEQUEÑOS,A1,48.07848
201810,CLIENTES PEQUEÑOS,A2,41.152545
201810,CLIENTES PEQUEÑOS,A3,23.58705
201810,CLIENTES PEQUEÑOS,A4,93.7773
201810,CLIENTES PEQUEÑOS,A5,25.239916
201810,CLIENTES PEQUEÑOS,A6,2.178644
201810,CLIENTES PEQUEÑOS,A7,1.239706
201810,CLIENTES PEQUEÑOS,A8,15.977746
201810,CLIENTES PEQUEÑOS,A9,113.906285
201810,CLIENTES PEQUEÑOS,A10,28.926366
201810,CLIENTES PEQUEÑOS,A11,2.980098
201810,CLIENTES PEQUEÑOS,A14,4.781378
201810,CLIENTES PEQUEÑOS,A15,7.267557
201810,CLIENTES PEQUEÑOS,A16,2.80546
201810,CLIENTES PEQUEÑOS,A17,5.36735
201810,CLIENTES PEQUEÑOS,A18,274.998753
201810,CLIENTES PEQUEÑOS,A19,43.987607
201810,CLIENTES PEQUEÑOS,A20,54.076869
201810,CLIENTES PEQUEÑOS,A21,93.245102
201810,CLIENTES PEQUEÑOS,A22,30.2103
201810,CLIENTES PEQUEÑOS,A23,95.869584
201811,CLIENTES GRANDES,A1,8.232
201811,CLIENTES GRANDES,A2,57.47112
201811,CLIENTES GRANDES,A3,4.3608
201811,CLIENTES GRANDES,A4,42.47424
201811,CLIENTES GRANDES,A5,17.74656
201811,CLIENTES GRANDES,A6,3.838848
201811,CLIENTES GRANDES,A7,3.539328
201811,CLIENTES GRANDES,A8,21.794976
201811,CLIENTES GRANDES,A9,22.50024
201811,CLIENTES GRANDES,A10,11.922624
201811,CLIENTES GRANDES,A11,10.579248
201811,CLIENTES GRANDES,A12,4.07268
201811,CLIENTES GRANDES,A13,10.15542
201811,CLIENTES GRANDES,A14,19.688184
201811,CLIENTES GRANDES,A15,12.032064
201811,CLIENTES GRANDES,A16,3.65904
201811,CLIENTES GRANDES,A17,6.183
201811,CLIENTES GRANDES,A18,16.804672
201811,CLIENTES GRANDES,A19,51.74504
201811,CLIENTES GRANDES,A20,57.48912
201811,CLIENTES GRANDES,A21,82.2528
201811,CLIENTES GRANDES,A22,7.8165
201811,CLIENTES GRANDES,A23,79.392096
201811,CLIENTES GRANDES,A24,9.531648
201811,CLIENTES PEQUEÑOS,A1,50.06728
201811,CLIENTES PEQUEÑOS,A2,46.578465
201811,CLIENTES PEQUEÑOS,A3,28.9464
201811,CLIENTES PEQUEÑOS,A4,97.356771
201811,CLIENTES PEQUEÑOS,A5,19.10051
201811,CLIENTES PEQUEÑOS,A6,3.674112
201811,CLIENTES PEQUEÑOS,A7,1.904916
201811,CLIENTES PEQUEÑOS,A8,20.569628
201811,CLIENTES PEQUEÑOS,A9,150.438055
201811,CLIENTES PEQUEÑOS,A10,26.35521
201811,CLIENTES PEQUEÑOS,A11,5.72247
201811,CLIENTES PEQUEÑOS,A14,4.602806
201811,CLIENTES PEQUEÑOS,A15,4.958844
201811,CLIENTES PEQUEÑOS,A16,2.88498
201811,CLIENTES PEQUEÑOS,A17,4.8804
201811,CLIENTES PEQUEÑOS,A18,311.958901
201811,CLIENTES PEQUEÑOS,A19,68.332484
201811,CLIENTES PEQUEÑOS,A20,74.103526
201811,CLIENTES PEQUEÑOS,A21,105.44233
201811,CLIENTES PEQUEÑOS,A22,13.98465
201811,CLIENTES PEQUEÑOS,A23,82.647432
201812,CLIENTES GRANDES,A1,7.57656
201812,CLIENTES GRANDES,A2,39.78621
201812,CLIENTES GRANDES,A3,2.9345
201812,CLIENTES GRANDES,A4,44.85168
201812,CLIENTES GRANDES,A5,13.853996
201812,CLIENTES GRANDES,A6,3.693378
201812,CLIENTES GRANDES,A7,3.028532
201812,CLIENTES GRANDES,A8,17.351256
201812,CLIENTES GRANDES,A9,17.00616
201812,CLIENTES GRANDES,A10,10.5609
201812,CLIENTES GRANDES,A11,5.762016
201812,CLIENTES GRANDES,A12,3.203496
201812,CLIENTES GRANDES,A13,7.246955
201812,CLIENTES GRANDES,A14,13.234752
201812,CLIENTES GRANDES,A15,9.379821
201812,CLIENTES GRANDES,A16,2.149224
201812,CLIENTES GRANDES,A17,6.7817
201812,CLIENTES GRANDES,A18,16.360797
201812,CLIENTES GRANDES,A19,34.748366
201812,CLIENTES GRANDES,A20,44.220402
201812,CLIENTES GRANDES,A21,51.619548
201812,CLIENTES GRANDES,A22,9.88395
201812,CLIENTES GRANDES,A23,72.684756
201812,CLIENTES GRANDES,A24,10.237968
201812,CLIENTES PEQUEÑOS,A1,34.70716
201812,CLIENTES PEQUEÑOS,A2,42.41223
201812,CLIENTES PEQUEÑOS,A3,22.33475
201812,CLIENTES PEQUEÑOS,A4,123.528651
201812,CLIENTES PEQUEÑOS,A5,23.802142
201812,CLIENTES PEQUEÑOS,A6,2.723006
201812,CLIENTES PEQUEÑOS,A7,1.683214
201812,CLIENTES PEQUEÑOS,A8,16.19161
201812,CLIENTES PEQUEÑOS,A9,140.839984
201812,CLIENTES PEQUEÑOS,A10,21.017346
201812,CLIENTES PEQUEÑOS,A11,1.767942
201812,CLIENTES PEQUEÑOS,A14,5.839654
201812,CLIENTES PEQUEÑOS,A15,3.088668
201812,CLIENTES PEQUEÑOS,A16,1.640408
201812,CLIENTES PEQUEÑOS,A17,4.4998
201812,CLIENTES PEQUEÑOS,A18,370.674552
201812,CLIENTES PEQUEÑOS,A19,54.990239
201812,CLIENTES PEQUEÑOS,A20,55.979853
201812,CLIENTES PEQUEÑOS,A21,122.505944
201812,CLIENTES PEQUEÑOS,A22,44.49525
201812,CLIENTES PEQUEÑOS,A23,115.141248
201901,CLIENTES GRANDES,A1,8.12448
201901,CLIENTES GRANDES,A2,32.36112
201901,CLIENTES GRANDES,A3,2.7528
201901,CLIENTES GRANDES,A4,30.281472
201901,CLIENTES GRANDES,A5,16.408704
201901,CLIENTES GRANDES,A6,2.441088
201901,CLIENTES GRANDES,A7,2.64576
201901,CLIENTES GRANDES,A8,16.31112
201901,CLIENTES GRANDES,A9,18.42216
201901,CLIENTES GRANDES,A10,6.846336
201901,CLIENTES GRANDES,A11,7.60104
201901,CLIENTES GRANDES,A12,2.89656
201901,CLIENTES GRANDES,A13,8.23032
201901,CLIENTES GRANDES,A14,22.87764
201901,CLIENTES GRANDES,A15,7.013952
201901,CLIENTES GRANDES,A16,2.007936
201901,CLIENTES GRANDES,A17,3.618
